pid,version,rid,priority,effect,action,resource_class,subject_class,seq_actions,seq_horizon
DARPA_CADETS_P0_5B,1,A_P0_0044,10,ALLOW,read,file:home,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0045,10,ALLOW,read,file:other,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0046,10,ALLOW,read,file:sbin,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0047,10,ALLOW,read,file:tmp,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0048,10,ALLOW,read,file:usr,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0049,10,ALLOW,read,file:var,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0050,10,ALLOW,read,network,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0051,10,ALLOW,read,pipe,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0052,10,ALLOW,recvfrom,file:none,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0053,10,ALLOW,recvfrom,network,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0054,10,ALLOW,recvmsg,file:none,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0055,10,ALLOW,recvmsg,network,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0056,10,ALLOW,rename,file:home,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0057,10,ALLOW,rename,file:var,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0058,10,ALLOW,sendmsg,file:none,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0059,10,ALLOW,sendmsg,network,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0060,10,ALLOW,sendto,file:none,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0061,10,ALLOW,sendto,network,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0062,10,ALLOW,signal,other,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0063,10,ALLOW,signal,process,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0064,10,ALLOW,truncate,file:none,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0065,10,ALLOW,unlink,file:home,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0066,10,ALLOW,unlink,file:tmp,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0067,10,ALLOW,unlink,file:usr,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0068,10,ALLOW,unlink,file:var,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0069,10,ALLOW,write,file:dev,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0070,10,ALLOW,write,file:etc,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0071,10,ALLOW,write,file:home,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0072,10,ALLOW,write,file:other,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0073,10,ALLOW,write,file:root_other,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0074,10,ALLOW,write,file:tmp,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0075,10,ALLOW,write,file:var,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0076,10,ALLOW,write,network,process,,0
DARPA_CADETS_P0_5B,1,A_P0_0077,10,ALLOW,write,pipe,process,,0
DARPA_CADETS_P0_5B,1,D_P0_UNSEEN_SELECTOR,0,DENY,*,*,*,,0
