pid,version,rid,priority,effect,action,resource_class,subject_class,fallback_nonstutter
DARPA_CADETS_WHITELIST,1,A_DARPA_0037,10,ALLOW,write,file:root_other,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0038,10,ALLOW,add_object_attribute,network,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0039,10,ALLOW,close,pipe,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0040,10,ALLOW,write,file:home,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0041,10,ALLOW,unlink,file:var,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0042,10,ALLOW,fcntl,pipe,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0043,10,ALLOW,rename,file:var,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0044,10,ALLOW,modify_file_attributes,file:home,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0045,10,ALLOW,modify_file_attributes,file:var,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0046,10,ALLOW,login,other,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0047,10,ALLOW,mprotect,other,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0048,10,ALLOW,accept,network,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0049,10,ALLOW,unlink,file:home,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0050,10,ALLOW,open,file:tmp,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0051,10,ALLOW,link,file:var,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0052,10,ALLOW,modify_file_attributes,file:tmp,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0053,10,ALLOW,signal,process,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0054,10,ALLOW,truncate,file:none,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0055,10,ALLOW,write,file:tmp,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0056,10,ALLOW,link,file:home,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0057,10,ALLOW,unlink,file:usr,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0058,10,ALLOW,modify_file_attributes,file:usr,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0059,10,ALLOW,unlink,file:tmp,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0060,10,ALLOW,recvmsg,file:none,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0061,10,ALLOW,sendmsg,file:none,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0062,10,ALLOW,modify_file_attributes,file:none,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0063,10,ALLOW,recvmsg,network,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0064,10,ALLOW,rename,file:home,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0065,10,ALLOW,create_object,file:usr,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0066,10,ALLOW,read,file:sbin,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0067,10,ALLOW,read,file:tmp,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0068,10,ALLOW,modify_file_attributes,file:dev,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0069,10,ALLOW,fcntl,file:none,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0070,10,ALLOW,other,other,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0071,10,ALLOW,flows_to,file:none,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0072,10,ALLOW,write,file:etc,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0073,10,ALLOW,signal,other,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0074,10,ALLOW,flows_to,pipe,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0075,10,ALLOW,open,file:sbin,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0076,10,ALLOW,open,other,process,0
DARPA_CADETS_WHITELIST,1,A_DARPA_0077,10,ALLOW,sendmsg,network,process,0
DARPA_CADETS_WHITELIST,1,D_DARPA_UNSEEN_SELECTOR,0,DENY,*,*,*,1
